No.,__  ,E/I,N/S,F/T,J/P,,,
1  ,ISTJ,I  ,S  ,T  ,J  ,,,
2  ,ISTJ,I  ,S  ,T  ,J  ,,,
3  ,ISTJ,I  ,S  ,T  ,J  ,,,
4  ,ISTJ,I  ,S  ,T  ,J  ,,,
5  ,ISTJ,I  ,S  ,T  ,J  ,,,
6  ,ISTJ,I  ,S  ,T  ,J  ,,,
7  ,ISTJ,I  ,S  ,T  ,J  ,,,
8  ,ISTJ,I  ,S  ,T  ,J  ,,,
9  ,ISTJ,I  ,S  ,T  ,J  ,,,
10 ,ISTJ,I  ,S  ,T  ,J  ,,,
11 ,ISFJ,I  ,S  ,F  ,J  ,,,
12 ,ISFJ,I  ,S  ,F  ,J  ,,,
13 ,ISFJ,I  ,S  ,F  ,J  ,,,
14 ,ISFJ,I  ,S  ,F  ,J  ,,,
15 ,ISFJ,I  ,S  ,F  ,J  ,,,
16 ,ISFJ,I  ,S  ,F  ,J  ,,,
17 ,ISFJ,I  ,S  ,F  ,J  ,,,
18 ,ISFJ,I  ,S  ,F  ,J  ,,,
19 ,ISFJ,I  ,S  ,F  ,J  ,,,
20 ,ISFJ,I  ,S  ,F  ,J  ,,,
21 ,ISFJ,I  ,S  ,F  ,J  ,,,
22 ,ISFJ,I  ,S  ,F  ,J  ,,,
23 ,ISFJ,I  ,S  ,F  ,J  ,,,
24 ,ISFJ,I  ,S  ,F  ,J  ,,,
25 ,ISFJ,I  ,S  ,F  ,J  ,,,
26 ,ISFJ,I  ,S  ,F  ,J  ,,,
27 ,ISFJ,I  ,S  ,F  ,J  ,,,
28 ,ISFJ,I  ,S  ,F  ,J  ,,,
29 ,ISFJ,I  ,S  ,F  ,J  ,,,
30 ,ISFJ,I  ,S  ,F  ,J  ,,,
31 ,ISFJ,I  ,S  ,F  ,J  ,,,
32 ,ISFJ,I  ,S  ,F  ,J  ,,,
33 ,ISFJ,I  ,S  ,F  ,J  ,,,
34 ,ISFJ,I  ,S  ,F  ,J  ,,,
35 ,ISFJ,I  ,S  ,F  ,J  ,,,
36 ,ISFJ,I  ,S  ,F  ,J  ,,,
37 ,ISFJ,I  ,S  ,F  ,J  ,,,
38 ,ISFJ,I  ,S  ,F  ,J  ,,,
39 ,ISFJ,I  ,S  ,F  ,J  ,,,
40 ,ISFJ,I  ,S  ,F  ,J  ,,,
41 ,ISFJ,I  ,S  ,F  ,J  ,,,
42 ,ISFJ,I  ,S  ,F  ,J  ,,,
43 ,ISFJ,I  ,S  ,F  ,J  ,,,
44 ,INFJ,I  ,N  ,F  ,J  ,,,
45 ,INFJ,I  ,N  ,F  ,J  ,,,
46 ,INFJ,I  ,N  ,F  ,J  ,,,
47 ,INFJ,I  ,N  ,F  ,J  ,,,
48 ,INFJ,I  ,N  ,F  ,J  ,,,
49 ,INFJ,I  ,N  ,F  ,J  ,,,
50 ,INFJ,I  ,N  ,F  ,J  ,,,
51 ,INFJ,I  ,N  ,F  ,J  ,,,
52 ,INFJ,I  ,N  ,F  ,J  ,,,
53 ,INFJ,I  ,N  ,F  ,J  ,,,
54 ,INFJ,I  ,N  ,F  ,J  ,,,
55 ,INFJ,I  ,N  ,F  ,J  ,,,
56 ,INFJ,I  ,N  ,F  ,J  ,,,
57 ,INFJ,I  ,N  ,F  ,J  ,,,
58 ,INFJ,I  ,N  ,F  ,J  ,,,
59 ,INFJ,I  ,N  ,F  ,J  ,,,
60 ,INFJ,I  ,N  ,F  ,J  ,,,
61 ,INFJ,I  ,N  ,F  ,J  ,,,
62 ,INFJ,I  ,N  ,F  ,J  ,,,
63 ,INFJ,I  ,N  ,F  ,J  ,,,
64 ,INFJ,I  ,N  ,F  ,J  ,,,
65 ,INFJ,I  ,N  ,F  ,J  ,,,
66 ,INFJ,I  ,N  ,F  ,J  ,,,
67 ,INFJ,I  ,N  ,F  ,J  ,,,
68 ,INFJ,I  ,N  ,F  ,J  ,,,
69 ,INFJ,I  ,N  ,F  ,J  ,,,
70 ,INFJ,I  ,N  ,F  ,J  ,,,
71 ,INFJ,I  ,N  ,F  ,J  ,,,
72 ,INFJ,I  ,N  ,F  ,J  ,,,
73 ,INFJ,I  ,N  ,F  ,J  ,,,
74 ,INFJ,I  ,N  ,F  ,J  ,,,
75 ,INTJ,I  ,N  ,T  ,J  ,,,
76 ,INTJ,I  ,N  ,T  ,J  ,,,
77 ,INTJ,I  ,N  ,T  ,J  ,,,
78 ,INTJ,I  ,N  ,T  ,J  ,,,
79 ,INTJ,I  ,N  ,T  ,J  ,,,
80 ,INTJ,I  ,N  ,T  ,J  ,,,
81 ,INTJ,I  ,N  ,T  ,J  ,,,
82 ,INTJ,I  ,N  ,T  ,J  ,,,
83 ,INTJ,I  ,N  ,T  ,J  ,,,
84 ,INTJ,I  ,N  ,T  ,J  ,,,
85 ,INTJ,I  ,N  ,T  ,J  ,,,
86 ,INTJ,I  ,N  ,T  ,J  ,,,
87 ,INTJ,I  ,N  ,T  ,J  ,,,
88 ,ISTP,I  ,S  ,T  ,P  ,,,
89 ,ISTP,I  ,S  ,T  ,P  ,,,
90 ,ISTP,I  ,S  ,T  ,P  ,,,
91 ,ISTP,I  ,S  ,T  ,P  ,,,
92 ,ISTP,I  ,S  ,T  ,P  ,,,
93 ,ISTP,I  ,S  ,T  ,P  ,,,
94 ,ISTP,I  ,S  ,T  ,P  ,,,
95 ,ISTP,I  ,S  ,T  ,P  ,,,
96 ,ISTP,I  ,S  ,T  ,P  ,,,
97 ,ISTP,I  ,S  ,T  ,P  ,,,
98 ,ISTP,I  ,S  ,T  ,P  ,,,
99 ,ISTP,I  ,S  ,T  ,P  ,,,
100,ISTP,I  ,S  ,T  ,P  ,,,
101,ISTP,I  ,S  ,T  ,P  ,,,
102,ISTP,I  ,S  ,T  ,P  ,,,
103,ISTP,I  ,S  ,T  ,P  ,,,
104,ISFP,I  ,S  ,F  ,P  ,,,
105,ISFP,I  ,S  ,F  ,P  ,,,
106,ISFP,I  ,S  ,F  ,P  ,,,
107,ISFP,I  ,S  ,F  ,P  ,,,
108,ISFP,I  ,S  ,F  ,P  ,,,
109,ISFP,I  ,S  ,F  ,P  ,,,
110,ISFP,I  ,S  ,F  ,P  ,,,
111,ISFP,I  ,S  ,F  ,P  ,,,
112,ISFP,I  ,S  ,F  ,P  ,,,
113,ISFP,I  ,S  ,F  ,P  ,,,
114,ISFP,I  ,S  ,F  ,P  ,,,
115,ISFP,I  ,S  ,F  ,P  ,,,
116,ISFP,I  ,S  ,F  ,P  ,,,
117,ISFP,I  ,S  ,F  ,P  ,,,
118,ISFP,I  ,S  ,F  ,P  ,,,
119,ISFP,I  ,S  ,F  ,P  ,,,
120,ISFP,I  ,S  ,F  ,P  ,,,
121,ISFP,I  ,S  ,F  ,P  ,,,
122,ISFP,I  ,S  ,F  ,P  ,,,
123,ISFP,I  ,S  ,F  ,P  ,,,
124,ISFP,I  ,S  ,F  ,P  ,,,
125,ISFP,I  ,S  ,F  ,P  ,,,
126,ISFP,I  ,S  ,F  ,P  ,,,
127,ISFP,I  ,S  ,F  ,P  ,,,
128,ISFP,I  ,S  ,F  ,P  ,,,
129,ISFP,I  ,S  ,F  ,P  ,,,
130,ISFP,I  ,S  ,F  ,P  ,,,
131,ISFP,I  ,S  ,F  ,P  ,,,
132,ISFP,I  ,S  ,F  ,P  ,,,
133,ISFP,I  ,S  ,F  ,P  ,,,
134,ISFP,I  ,S  ,F  ,P  ,,,
135,ISFP,I  ,S  ,F  ,P  ,,,
136,ISFP,I  ,S  ,F  ,P  ,,,
137,ISFP,I  ,S  ,F  ,P  ,,,
138,ISFP,I  ,S  ,F  ,P  ,,,
139,ISFP,I  ,S  ,F  ,P  ,,,
140,ISFP,I  ,S  ,F  ,P  ,,,
141,ISFP,I  ,S  ,F  ,P  ,,,
142,ISFP,I  ,S  ,F  ,P  ,,,
143,INFP,I  ,N  ,F  ,P  ,,,
144,INFP,I  ,N  ,F  ,P  ,,,
145,INFP,I  ,N  ,F  ,P  ,,,
146,INFP,I  ,N  ,F  ,P  ,,,
147,INFP,I  ,N  ,F  ,P  ,,,
148,INFP,I  ,N  ,F  ,P  ,,,
149,INFP,I  ,N  ,F  ,P  ,,,
150,INFP,I  ,N  ,F  ,P  ,,,
151,INFP,I  ,N  ,F  ,P  ,,,
152,INFP,I  ,N  ,F  ,P  ,,,
153,INFP,I  ,N  ,F  ,P  ,,,
154,INFP,I  ,N  ,F  ,P  ,,,
155,INFP,I  ,N  ,F  ,P  ,,,
156,INFP,I  ,N  ,F  ,P  ,,,
157,INFP,I  ,N  ,F  ,P  ,,,
158,INFP,I  ,N  ,F  ,P  ,,,
159,INFP,I  ,N  ,F  ,P  ,,,
